year,quarter,monthsigned,market,building_name,building_id,address,region,city,state,zip,internal_submarket,internal_class,leasedSF,company_name,internal_industry,transaction_type,internal_market_cluster,costarID,space_type,CBD_suburban,RBA,available_space,availability_proportion,internal_class_rent,overall_rent,direct_available_space,direct_availability_proportion,direct_internal_class_rent,direct_overall_rent,sublet_available_space,sublet_availability_proportion,sublet_internal_class_rent,sublet_overall_rent,leasing,year-quarter,company_size,industry_size
2018,Q1,1.0,Atlanta,10 Glenlake North Tower,Atlanta_Central Perimeter_Atlanta_10 Glenlake North Tower_10 Glenlake Pky NE,10 Glenlake Pky NE,South,Atlanta,GA,30328.0,Central Perimeter,A,24736.0,Capital Investment Advisors,Financial Services and Insurance,Expansion,,445509,Relet,Suburban,101140416.0,20239067.0,0.200108599513769,27.6558911686799,24.3456893335581,,,,,,,,,1205126.0,2018-Q1,Medium,Financial_Services_and_Insurance_Medium
2018,Q1,1.0,Austin,Lavaca Plaza,Austin_CBD_Austin_Lavaca Plaza_504 Lavaca St,504 Lavaca St,South,Austin,TX,78701.0,CBD,A,15556.0,Credit Shop,Financial Services and Insurance,New,,98002,Relet,CBD,36815073.0,4281986.0,0.116310675249782,40.3847061308072,36.5966175390302,,,,,,,,,1738905.0,2018-Q1,Medium,Financial_Services_and_Insurance_Medium
2018,Q1,1.0,Detroit,Brown Street Centre,Detroit_Birmingham Area_Birmingham_Brown Street Centre_255 E Brown St,255 E Brown St,Midwest/Central,Birmingham,MI,48009.0,Birmingham Area,A,26017.0,Wells Fargo,Financial Services and Insurance,TBD,Suburban Detroit,455176,,Suburban,34423167.0,6565982.0,0.190743112044281,20.9981865703684,18.7494093179193,,,,,,,,,435687.0,2018-Q1,Medium,Financial_Services_and_Insurance_Medium
2018,Q1,1.0,Houston,Three Greenway Plaza,Houston_Greenway Plaza_Houston_Three Greenway Plaza_3 Greenway Plz,3 Greenway Plz,South,Houston,TX,77046.0,Greenway Plaza,A,23049.0,Foster,Financial Services and Insurance,New,,233989,Relet,Suburban,113376552.0,32500251.0,0.286657606239428,32.105381160916,27.9231235500487,,,,,,,,,2103443.0,2018-Q1,Medium,Financial_Services_and_Insurance_Medium
2018,Q1,1.0,Houston,West Memorial Place I,Houston_Katy Freeway/Energy Corridor_Houston_West Memorial Place I_15375 Memorial Dr,15375 Memorial Dr,South,Houston,TX,77079.0,Katy Freeway/Energy Corridor,A,16000.0,Crossmark Global Investments,Financial Services and Insurance,New,,9212905,New,Suburban,113376552.0,32500251.0,0.286657606239428,32.105381160916,27.9231235500487,,,,,,,,,2103443.0,2018-Q1,Medium,Financial_Services_and_Insurance_Medium
2018,Q1,1.0,Los Angeles,Comerica Bank Building,Los Angeles_Central San Fernando Valley_Sherman Oaks_Comerica Bank Building_15303 Ventura Blvd,15303 Ventura Blvd,West,Sherman Oaks,CA,91403.0,Central San Fernando Valley,A,20000.0,Genesis Capital,Financial Services and Insurance,New,San Fernando Valley,247171,Relet,Suburban,143744668.0,26495057.0,0.184320276839764,39.9017071694796,36.9589964321819,,,,,,,,,2480075.0,2018-Q1,Medium,Financial_Services_and_Insurance_Medium
2018,Q1,1.0,Manhattan,55 Hudson Yards,Manhattan_Hudson Yards_New York_55 Hudson Yards_550 W 34th St,550 W 34th St,Northeast,New York,NY,10001.0,Hudson Yards,A,13969.0,Third Point,Financial Services and Insurance,Expansion,Midtown,9485280,Relet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,2018-Q1,Medium,Financial_Services_and_Insurance_Medium
2018,Q1,1.0,Manhattan,,Manhattan_Times Square_New York_NA_1155 Avenue of the Americas,1155 Avenue of the Americas,Northeast,New York,NY,10036.0,Times Square,A,16563.0,South Street Securities,Financial Services and Insurance,Relocation,Midtown,157118,Relet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,2018-Q1,Medium,Financial_Services_and_Insurance_Medium
2018,Q1,1.0,Manhattan,,Manhattan_Plaza South_New York_NA_350 Park Ave,350 Park Ave,Northeast,New York,NY,10022.0,Plaza South,A,12855.0,Marshall Wace,Financial Services and Insurance,Expansion,Midtown,157261,Relet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,2018-Q1,Medium,Financial_Services_and_Insurance_Medium
2018,Q1,1.0,Southern Maryland,Bethesda Bradley Building,Southern Maryland_Bethesda / Chevy Chase_Bethesda_Bethesda Bradley Building_6900 Wisconsin Ave,6900 Wisconsin Ave,Northeast,Bethesda,MD,20815.0,Bethesda / Chevy Chase,O,21936.0,Howard Insurance Agency,Financial Services and Insurance,Renewal,,130764,Relet,Suburban,,,,,,,,,,,,,,,2018-Q1,Medium,Financial_Services_and_Insurance_Medium
2018,Q1,2.0,Atlanta,3400 Overton,Atlanta_Northwest_Atlanta_3400 Overton_3400 Overton Park Dr,3400 Overton Park Dr,South,Atlanta,GA,30339.0,Northwest,A,26216.0,"Mcgriff, Seibels & Williams",Financial Services and Insurance,Relocation,,9590401,New,Suburban,101140416.0,20239067.0,0.200108599513769,27.6558911686799,24.3456893335581,,,,,,,,,1205126.0,2018-Q1,Medium,Financial_Services_and_Insurance_Medium
2018,Q1,2.0,Chicago,River Point,Chicago_West Loop_Chicago_River Point_444 W Lake St,444 W Lake St,Midwest/Central,Chicago,IL,60606.0,West Loop,A,26695.0,Allstate,Financial Services and Insurance,New,,5819227,New,CBD,,,,,,,,,,,,,,,2018-Q1,Medium,Financial_Services_and_Insurance_Medium
2018,Q1,2.0,Chicago,Willis Tower,Chicago_West Loop_Chicago_Willis Tower_233 S Wacker Dr,233 S Wacker Dr,Midwest/Central,Chicago,IL,60606.0,West Loop,A,16502.0,Fidelity Investments,Financial Services and Insurance,New,,144275,Relet,CBD,,,,,,,,,,,,,,,2018-Q1,Medium,Financial_Services_and_Insurance_Medium
2018,Q1,2.0,Manhattan,10 3rd Ave,Manhattan_Greenwich Village_New York_10 3rd Ave_51 Astor Pl,51 Astor Pl,Northeast,New York,NY,10003.0,Greenwich Village,A,25401.0,Chain Bridge Asset Management,Financial Services and Insurance,Relocation,Midtown South,8078605,Relet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,2018-Q1,Medium,Financial_Services_and_Insurance_Medium
