year,quarter,monthsigned,market,building_name,building_id,address,region,city,state,zip,internal_submarket,internal_class,leasedSF,company_name,internal_industry,transaction_type,internal_market_cluster,costarID,space_type,CBD_suburban,RBA,available_space,availability_proportion,internal_class_rent,overall_rent,direct_available_space,direct_availability_proportion,direct_internal_class_rent,direct_overall_rent,sublet_available_space,sublet_availability_proportion,sublet_internal_class_rent,sublet_overall_rent,leasing,year-quarter,company_size,industry_size
2018,Q1,1.0,Austin,Northpoint Center I,Austin_Northwest_Austin_Northpoint Center I_6836 Austin Center Blvd,6836 Austin Center Blvd,South,Austin,TX,78731.0,Northwest,A,9654.0,Capstar Lending,Financial Services and Insurance,Renewal,,591280,Relet,Suburban,36815073.0,4281986.0,0.116310675249782,40.3847061308072,36.5966175390302,,,,,,,,,1738905.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Austin,Scarbrough Building,Austin_CBD_Austin_Scarbrough Building_522 N Congress Ave,522 N Congress Ave,South,Austin,TX,78701.0,CBD,A,8722.0,Hippo Analytics,Financial Services and Insurance,New,,591335,Relet,CBD,36815073.0,4281986.0,0.116310675249782,40.3847061308072,36.5966175390302,,,,,,,,,1738905.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Charlotte,The Hub at Waverly,Charlotte_East Charlotte_Charlotte_The Hub at Waverly_6210 Ardrey Kell Rd,6210 Ardrey Kell Rd,South,Charlotte,NC,28277.0,East Charlotte,A,4500.0,Edward Jones,Financial Services and Insurance,New,,9556029,New,Suburban,35441291.0,5603221.0,0.158098670841308,28.5893701247036,26.0377348755077,,,,,,,,,1130188.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Chicago Suburbs,Columbia Centre I,Chicago Suburbs_O'Hare Area_Rosemont_Columbia Centre I_5600 N River Rd,5600 N River Rd,Midwest/Central,Rosemont,IL,60018.0,O'Hare Area,O,10086.0,Huntington National Bank,Financial Services and Insurance,New,,144586,Relet,Suburban,46619476.0,12280805.0,0.263426491537571,19.6066862272914,23.1447656290899,,,,,,,,,495329.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Dallas/Ft Worth,Keller Way Place,Dallas/Ft Worth_North Dallas Corridor_Carrollton_Keller Way Place_2245 Keller Way,2245 Keller Way,South,Carrollton,TX,75006.0,North Dallas Corridor,O,1875.0,Bank Of England Mortgage,Financial Services and Insurance,New,,10182,Relet,Suburban,,,,,,,,,,,,,,,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Denver,KORE 9250,Denver_Southeast_Greenwood Village_KORE 9250_9250 E Costilla Ave,9250 E Costilla Ave,Midwest/Central,Greenwood Village,CO,80112.0,Southeast,O,5845.0,Warranty Processing,Financial Services and Insurance,New,,393083,Relet,Suburban,,,,,,,,,,,,,,,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Manhattan,16 E 60th St,Manhattan_Plaza North_New York_16 E 60th St_650 Madison Ave,650 Madison Ave,Northeast,New York,NY,10022.0,Plaza North,A,6514.0,Bc Partners,Financial Services and Insurance,Expansion,Midtown,157299,Relet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Manhattan,530544 Fifth Ave,Manhattan_Grand Central_New York_530544 Fifth Ave_530 Fifth Ave,530 Fifth Ave,Northeast,New York,NY,10036.0,Grand Central,O,7803.0,Deltec Asset Management,Financial Services and Insurance,New,Midtown,157320,Relet,CBD,199870492.0,20399536.0,0.102063770373868,61.391797776729,73.7398641513934,,,,,,,,,3789831.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Manhattan,553561 Fifth Ave,Manhattan_Grand Central_New York_553561 Fifth Ave_555 Fifth Ave,555 Fifth Ave,Northeast,New York,NY,10017.0,Grand Central,O,3970.0,Floyd Advisory,Financial Services and Insurance,Renewal,Midtown,157549,Relet,CBD,199870492.0,20399536.0,0.102063770373868,61.391797776729,73.7398641513934,,,,,,,,,3789831.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Manhattan,565 Fifth,Manhattan_Grand Central_New York_565 Fifth_565 Fifth Ave,565 Fifth Ave,Northeast,New York,NY,10017.0,Grand Central,A,9280.0,Kookmin Bank,Financial Services and Insurance,Renewal,Midtown,157266,Relet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Manhattan,The Emporis Building,Manhattan_Grand Central_New York_The Emporis Building_100 Park Ave,100 Park Ave,Northeast,New York,NY,10017.0,Grand Central,A,8524.0,Sun Capital Partners,Financial Services and Insurance,Renewal,Midtown,157169,Relet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Manhattan,,Manhattan_Times Square_New York_NA_1155 Avenue of the Americas,1155 Avenue of the Americas,Northeast,New York,NY,10036.0,Times Square,A,9823.0,White Oak Securities,Financial Services and Insurance,Relocation,Midtown,157118,Relet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Manhattan,,Manhattan_Plaza South_New York_NA_350 Park Ave,350 Park Ave,Northeast,New York,NY,10022.0,Plaza South,A,8105.0,Fidelity,Financial Services and Insurance,Renewal,Midtown,157261,Relet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Northern Virginia,Gatewood Plaza,Northern Virginia_Fairfax / Oakton / Vienna_Fairfax_Gatewood Plaza_10201 Fairfax Blvd,10201 Fairfax Blvd,Northeast,Fairfax,VA,22030.0,Fairfax / Oakton / Vienna,O,1370.0,Insurance Associates,Financial Services and Insurance,New,Fairfax County,134944,Relet,Suburban,50820827.0,11232437.0,0.221020350573988,28.9739340671193,31.8378869259619,,,,,,,,,528874.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Northern Virginia,One Monument Place,Northern Virginia_Fairfax / Oakton / Vienna_Fairfax_One Monument Place_12150 Monument Dr,12150 Monument Dr,Northeast,Fairfax,VA,22033.0,Fairfax / Oakton / Vienna,A,4009.0,Primelending,Financial Services and Insurance,New,Fairfax County,137260,Relet,Suburban,98172791.0,21540326.0,0.219412382805741,33.6637973930237,31.8378869259619,,,,,,,,,3476628.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Orange County,,Orange County_Airport Area_Newport Beach_NA_4695 Macarthur Ct,4695 Macarthur Ct,West,Newport Beach,CA,92660.0,Airport Area,A,10000.0,Farmers & Merchants Bank,Financial Services and Insurance,Renewal,,280501,,Suburban,,,,,,,,,,,,,,,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,San Diego,Rio Vista Medical Plaza,San Diego_Mission Valley_San Diego_Rio Vista Medical Plaza_9095 Rio San Diego Dr,9095 Rio San Diego Dr,West,San Diego,CA,92108.0,Mission Valley,A,8077.0,Gallagher,Financial Services and Insurance,Renewal,,709142,,Suburban,30551450.0,4923858.0,0.161166098499417,36.5331251563644,32.6194613367055,,,,,,,,,661104.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Seattle,Key Center,Seattle_Bellevue CBD_Bellevue_Key Center_601 108th Ave NE,601 108th Ave NE,West,Bellevue,WA,98004.0,Bellevue CBD,A,3000.0,Keybank,Financial Services and Insurance,Renewal,,470118,Relet,CBD,59853980.0,4721407.0,0.0788820893781834,41.5991786346942,32.1894025981061,,,,,,,,,1332616.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,South Bay/San Jose,The Almaden,South Bay/San Jose_Downtown San Jose_San Jose_The Almaden_1 Almaden Blvd,1 Almaden Blvd,West,San Jose,CA,95113.0,Downtown San Jose,O,4025.0,Ameriprise Financial,Financial Services and Insurance,Renewal,,306217,Relet,CBD,,,,,,,,,,,,,,,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Southern Maryland,Bethesda Bradley Building,Southern Maryland_Bethesda / Chevy Chase_Bethesda_Bethesda Bradley Building_6900 Wisconsin Ave,6900 Wisconsin Ave,Northeast,Bethesda,MD,20815.0,Bethesda / Chevy Chase,O,5484.0,Howard Insurance Agency,Financial Services and Insurance,New,,130764,Relet,Suburban,,,,,,,,,,,,,,,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,1.0,Washington D.C.,,Washington D.C._East End_Washington_NA_1300 L St NW,1300 L St NW,Northeast,Washington,DC,20005.0,East End,O,1677.0,Consumer Action Network,Financial Services and Insurance,Renewal,,129227,Relet,CBD,,,,,,,,,,,,,,,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,2.0,Atlanta,Parkview One,Atlanta_North Fulton_Alpharetta_Parkview One_925 North Point Pky,925 North Point Pky,South,Alpharetta,GA,30005.0,North Fulton,A,5352.0,Crosscountry Mortgage,Financial Services and Insurance,New,,11963,Relet,Suburban,101140416.0,20239067.0,0.200108599513769,27.6558911686799,24.3456893335581,,,,,,,,,1205126.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,2.0,Baltimore,Parole Office Building,Baltimore_Anne Arundel_Annapolis_Parole Office Building_49 Old Solomons Island Rd,49 Old Solomons Island Rd,Northeast,Annapolis,MD,21401.0,Anne Arundel,O,1651.0,State Farm,Financial Services and Insurance,New,South Suburbs,133058,Relet,Suburban,40265706.0,6531089.0,0.162199788574426,20.12098958378,22.9540342193405,,,,,,,,,247089.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,2.0,Chicago Suburbs,Corporate Center II,Chicago Suburbs_North Corridor_Northbrook_Corporate Center II_1033 Skokie Blvd,1033 Skokie Blvd,Midwest/Central,Northbrook,IL,60062.0,North Corridor,A,1935.0,Merrill Lynch,Financial Services and Insurance,New,,513890,Relet,Suburban,54362692.0,14511067.0,0.26693061852051,26.3269727942067,23.1447656290899,,,,,,,,,645808.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,2.0,Chicago Suburbs,Corporate Center II,Chicago Suburbs_North Corridor_Northbrook_Corporate Center II_1033 Skokie Blvd,1033 Skokie Blvd,Midwest/Central,Northbrook,IL,60062.0,North Corridor,A,4032.0,Merrill Lynch,Financial Services and Insurance,New,,513890,Relet,Suburban,54362692.0,14511067.0,0.26693061852051,26.3269727942067,23.1447656290899,,,,,,,,,645808.0,2018-Q1,Small,Financial_Services_and_Insurance_Small
2018,Q1,2.0,Dallas/Ft Worth,The Star Headquarters,Dallas/Ft Worth_North Dallas Corridor_Frisco_The Star Headquarters_1 Cowboys Way,1 Cowboys Way,South,Frisco,TX,75034.0,North Dallas Corridor,A,8800.0,Rbc Wealth Management,Financial Services and Insurance,New,,9193232,New,Suburban,,,,,,,,,,,,,,,2018-Q1,Small,Financial_Services_and_Insurance_Small
