year,quarter,monthsigned,market,building_name,building_id,address,region,city,state,zip,internal_submarket,internal_class,leasedSF,company_name,internal_industry,transaction_type,internal_market_cluster,costarID,space_type,CBD_suburban,RBA,available_space,availability_proportion,internal_class_rent,overall_rent,direct_available_space,direct_availability_proportion,direct_internal_class_rent,direct_overall_rent,sublet_available_space,sublet_availability_proportion,sublet_internal_class_rent,sublet_overall_rent,leasing,year-quarter,company_size,industry_size
2018,Q1,1.0,Chicago,161 W Washington St,Chicago_Central Loop_Chicago_161 W Washington St_30 N LaSalle St,30 N LaSalle St,Midwest/Central,Chicago,IL,60602.0,Central Loop,O,15264.0,Roetzel & Andress,Legal Services,New,,144306,Relet,CBD,,,,,,,,,,,,,,,2018-Q1,Medium,Legal_Services_Medium
2018,Q1,1.0,Chicago,71 S Franklin St,Chicago_West Loop_Chicago_71 S Franklin St_71 S Wacker Dr,71 S Wacker Dr,Midwest/Central,Chicago,IL,60606.0,West Loop,A,19000.0,JAMS,Legal Services,New,,728654,Relet,CBD,,,,,,,,,,,,,,,2018-Q1,Medium,Legal_Services_Medium
2018,Q1,1.0,Denver,Wells Fargo Center,Denver_Central Business District_Denver_Wells Fargo Center_1700 Lincoln St,1700 Lincoln St,Midwest/Central,Denver,CO,80203.0,Central Business District,A,23878.0,Spencer Fane,Legal Services,New,Downtown Denver,393555,Relet,CBD,,,,,,,,,,,,,,,2018-Q1,Medium,Legal_Services_Medium
2018,Q1,1.0,Los Angeles,,Los Angeles_Downtown LA_Los Angeles_NA_515 S Figueroa St,515 S Figueroa St,West,Los Angeles,CA,90071.0,Downtown LA,A,12940.0,"Berkes, Crane, Robinson, & Seal",Legal Services,Renewal,,248624,Relet,CBD,143744668.0,26495057.0,0.184320276839764,39.9017071694796,36.9589964321819,,,,,,,,,2480075.0,2018-Q1,Medium,Legal_Services_Medium
2018,Q1,1.0,Manhattan,134152 53rd St,Manhattan_East Side / UN_New York_134152 53rd St_599 Lexington Ave,599 Lexington Ave,Northeast,New York,NY,10022.0,East Side / UN,A,15231.0,"Ogletree, Deakins, Nash, Smoak & Stewart",Legal Services,New,Midtown,157073,Relet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,2018-Q1,Medium,Legal_Services_Medium
2018,Q1,1.0,Manhattan,3143 E 49th St,Manhattan_Plaza South_New York_3143 E 49th St_437 Madison Ave,437 Madison Ave,Northeast,New York,NY,10022.0,Plaza South,A,18650.0,Mitchell Silberberg & Knupp,Legal Services,Relocation,Midtown,157135,Relet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,2018-Q1,Medium,Legal_Services_Medium
2018,Q1,1.0,Orange County,Pacific Financial Plaza II,Orange County_Airport Area_Newport Beach_Pacific Financial Plaza II_840 Newport Center Dr,840 Newport Center Dr,West,Newport Beach,CA,92660.0,Airport Area,A,18882.0,Irell & Manella,Legal Services,Renewal,,280650,Relet,Suburban,,,,,,,,,,,,,,,2018-Q1,Medium,Legal_Services_Medium
2018,Q1,2.0,San Diego,La Jolla Commons,San Diego_UTC_San Diego_La Jolla Commons_4747 Executive Dr,4747 Executive Dr,West,San Diego,CA,92121.0,UTC,A,24368.0,Paul Hastings,Legal Services,Renewal,,1315486,Relet,Suburban,30551450.0,4923858.0,0.161166098499417,36.5331251563644,32.6194613367055,,,,,,,,,661104.0,2018-Q1,Medium,Legal_Services_Medium
2018,Q1,3.0,Manhattan,One Grand Central Place,Manhattan_Grand Central_New York_One Grand Central Place_60 E 42nd St,60 E 42nd St,Northeast,New York,NY,10165.0,Grand Central,O,12700.0,Hoguet Newman Regal & Kenney,Legal Services,Relocation,Midtown,157038,Relet,CBD,199870492.0,20399536.0,0.102063770373868,61.391797776729,73.7398641513934,,,,,,,,,3789831.0,2018-Q1,Medium,Legal_Services_Medium
2018,Q1,12.0,Orange County,Orange Executive Tower,Orange County_Central County_Orange_Orange Executive Tower_1100 W Town And Country Rd,1100 W Town And Country Rd,West,Orange,CA,92868.0,Central County,A,12005.0,Lynberg & Watkins,Legal Services,Renewal,,279382,,Suburban,,,,,,,,,,,,,,,2018-Q1,Medium,Legal_Services_Medium
2018,Q1,,Houston,811 Main,Houston_CBD_Houston_811 Main_811 Main St,811 Main St,South,Houston,TX,77002.0,CBD,A,24494.0,Yetter Coleman,Legal Services,,,6052267,,CBD,113376552.0,32500251.0,0.286657606239428,32.105381160916,27.9231235500487,,,,,,,,,2103443.0,2018-Q1,Medium,Legal_Services_Medium
2018,Q1,,Manhattan,Lipstick Building,Manhattan_East Side / UN_New York_Lipstick Building_885 Third Ave,885 Third Ave,Northeast,New York,NY,10022.0,East Side / UN,A,19270.0,Fox Horan & Camarini,Legal Services,Relocation,Midtown,157212,Sublet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,2018-Q1,Medium,Legal_Services_Medium
2018,Q1,,Tampa,Rocky Point Centre,Tampa_Westshore_Tampa_Rocky Point Centre_3030 N Rocky Point Dr W,3030 N Rocky Point Dr W,South,Tampa,FL,33607.0,Westshore,A,22000.0,The Pappas Group,Legal Services,,Hillsborough,380292,,Suburban,22606282.0,2633830.0,0.116508765129976,28.3222759720881,22.9696082969937,,,,,,,,,843021.0,2018-Q1,Medium,Legal_Services_Medium
2018,Q1,,Tampa,Truist Place,Tampa_Tampa CBD_Tampa_Truist Place_401 E Jackson St,401 E Jackson St,South,Tampa,FL,33602.0,Tampa CBD,A,19002.0,Lewis Brisbois Bisgaard & Smith,Legal Services,,Hillsborough,380228,,CBD,22606282.0,2633830.0,0.116508765129976,28.3222759720881,22.9696082969937,,,,,,,,,843021.0,2018-Q1,Medium,Legal_Services_Medium
