year,quarter,monthsigned,market,building_name,building_id,address,region,city,state,zip,internal_submarket,internal_class,leasedSF,company_name,internal_industry,transaction_type,internal_market_cluster,costarID,space_type,CBD_suburban,RBA,available_space,availability_proportion,internal_class_rent,overall_rent,direct_available_space,direct_availability_proportion,direct_internal_class_rent,direct_overall_rent,sublet_available_space,sublet_availability_proportion,sublet_internal_class_rent,sublet_overall_rent,leasing,year-quarter,company_size,industry_size
2018,Q1,1.0,Austin,7600 Burnet,Austin_Central_Austin_7600 Burnet_7600 Burnet Rd,7600 Burnet Rd,South,Austin,TX,78757.0,Central,O,1347.0,Law Office Of Michael Baumer,Legal Services,Renewal,,591377,Relet,Suburban,27947525.0,3360936.0,0.121081832919164,30.1186577498436,36.5966175390302,,,,,,,,,185674.0,2018-Q1,Small,Legal_Services_Small
2018,Q1,1.0,Charlotte,Johnston Building,Charlotte_CBD_Charlotte_Johnston Building_212 S Tryon St,212 S Tryon St,South,Charlotte,NC,28281.0,CBD,O,939.0,Schwaba Law Firm,Legal Services,Renewal,,479418,Relet,CBD,27835480.0,3019728.0,0.108484854581275,20.7555580287693,26.0377348755077,,,,,,,,,172401.0,2018-Q1,Small,Legal_Services_Small
2018,Q1,1.0,Chicago,161 N Clark St,Chicago_Central Loop_Chicago_161 N Clark St_161 N Clark St,161 N Clark St,Midwest/Central,Chicago,IL,60601.0,Central Loop,A,3838.0,Tomasik Kotin & Kasserman,Legal Services,New,,144294,Relet,CBD,,,,,,,,,,,,,,,2018-Q1,Small,Legal_Services_Small
2018,Q1,1.0,Chicago,440 South LaSalle,Chicago_Central Loop_Chicago_440 South LaSalle_425 S Financial Pl,425 S Financial Pl,Midwest/Central,Chicago,IL,60605.0,Central Loop,A,3137.0,"Applegate & Thorne-Thomsen,",Legal Services,New,,144320,Relet,CBD,,,,,,,,,,,,,,,2018-Q1,Small,Legal_Services_Small
2018,Q1,1.0,Los Angeles,,Los Angeles_West San Fernando Valley_Calabasas_NA_24025 Park Sorrento,24025 Park Sorrento,West,Calabasas,CA,91302.0,West San Fernando Valley,A,10000.0,The Law Offices Of Gerald L. Marcus,Legal Services,Renewal,San Fernando Valley,251155,,Suburban,143744668.0,26495057.0,0.184320276839764,39.9017071694796,36.9589964321819,,,,,,,,,2480075.0,2018-Q1,Small,Legal_Services_Small
2018,Q1,1.0,Manhattan,80 Broad St,Manhattan_Financial District_New York_80 Broad St_80-86 Broad St,80-86 Broad St,Northeast,New York,NY,10004.0,Financial District,O,3005.0,Tamir Law Group,Legal Services,TBD,Downtown,157177,Sublet,CBD,199870492.0,20399536.0,0.102063770373868,61.391797776729,73.7398641513934,,,,,,,,,3789831.0,2018-Q1,Small,Legal_Services_Small
2018,Q1,1.0,Manhattan,Rockefeller Center,Manhattan_Plaza South_New York_Rockefeller Center_1270 Avenue of the Americas,1270 Avenue of the Americas,Northeast,New York,NY,10020.0,Plaza South,A,3782.0,Mandelbaum Salsburg,Legal Services,New,Midtown,52858,Sublet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,2018-Q1,Small,Legal_Services_Small
2018,Q1,1.0,San Diego,1 Columbia Place,San Diego_Downtown_San Diego_1 Columbia Place_401 W A St,401 W A St,West,San Diego,CA,92101.0,Downtown,A,4337.0,Greenspoon Marder,Legal Services,Renewal,,313232,Relet,CBD,30551450.0,4923858.0,0.161166098499417,36.5331251563644,32.6194613367055,,,,,,,,,661104.0,2018-Q1,Small,Legal_Services_Small
2018,Q1,1.0,San Diego,1 Columbia Place,San Diego_Downtown_San Diego_1 Columbia Place_401 W A St,401 W A St,West,San Diego,CA,92101.0,Downtown,A,2539.0,Smith Steiner Vanderpool & Wax,Legal Services,New,,313232,Relet,CBD,30551450.0,4923858.0,0.161166098499417,36.5331251563644,32.6194613367055,,,,,,,,,661104.0,2018-Q1,Small,Legal_Services_Small
2018,Q1,1.0,South Bay/San Jose,St James Plaza,South Bay/San Jose_Downtown San Jose_San Jose_St James Plaza_152 N 3rd St,152 N 3rd St,West,San Jose,CA,95112.0,Downtown San Jose,A,5999.0,Ericksen Arbuthnot - Attorneys At Law,Legal Services,Renewal,,310893,,CBD,,,,,,,,,,,,,,,2018-Q1,Small,Legal_Services_Small
2018,Q1,1.0,South Florida,Cypress Financial Center,South Florida_Cypress Creek/Fort Lauderdale_Fort Lauderdale_Cypress Financial Center_5900 N Andrews Ave,5900 N Andrews Ave,South,Fort Lauderdale,FL,33309.0,Cypress Creek/Fort Lauderdale,A,5060.0,"Mcconnaughhay, Coonrod, Pope, Weaver & Stern, P.a",Legal Services,New,Broward County,378657,Relet,Suburban,51568556.0,8778332.0,0.17022644574341,37.4429386432953,32.8268385375392,,,,,,,,,610763.0,2018-Q1,Small,Legal_Services_Small
2018,Q1,2.0,Los Angeles,Village on Canon,Los Angeles_Beverly Hills_Beverly Hills_Village on Canon_301-333 N Canon Dr,301-333 N Canon Dr,West,Beverly Hills,CA,90210.0,Beverly Hills,A,6419.0,"Young, Spiegel & Lee, Llp",Legal Services,Renewal,Westside,248107,Relet,CBD,143744668.0,26495057.0,0.184320276839764,39.9017071694796,36.9589964321819,,,,,,,,,2480075.0,2018-Q1,Small,Legal_Services_Small
2018,Q1,2.0,Manhattan,4652 Broad St,Manhattan_Financial District_New York_4652 Broad St_50 Broad St,50 Broad St,Northeast,New York,NY,10004.0,Financial District,O,2647.0,Bennett Bricklin & Saltzburg,Legal Services,New,Downtown,157521,Sublet,CBD,199870492.0,20399536.0,0.102063770373868,61.391797776729,73.7398641513934,,,,,,,,,3789831.0,2018-Q1,Small,Legal_Services_Small
2018,Q1,2.0,Manhattan,,Manhattan_Grand Central_New York_NA_366 Madison Ave,366 Madison Ave,Northeast,New York,NY,10017.0,Grand Central,O,6851.0,Ortoli Rosenstadt,Legal Services,Relocation,Midtown,157730,Relet,CBD,199870492.0,20399536.0,0.102063770373868,61.391797776729,73.7398641513934,,,,,,,,,3789831.0,2018-Q1,Small,Legal_Services_Small
2018,Q1,2.0,Phoenix,Camelwest Plaza  West,Phoenix_Northwest Phoenix_Phoenix_Camelwest Plaza  West_2001 W Camelback Rd,2001 W Camelback Rd,West,Phoenix,AZ,85015.0,Northwest Phoenix,O,8627.0,Ryley Carlock & Applewhite,Legal Services,New,,224725,Relet,Suburban,55308218.0,9939404.0,0.179858641450204,23.0715670263072,25.6041175714586,,,,,,,,,502442.0,2018-Q1,Small,Legal_Services_Small
2018,Q1,2.0,San Diego,,San Diego_Downtown_San Diego_NA_655 W Broadway,655 W Broadway,West,San Diego,CA,92101.0,Downtown,A,4503.0,Dinsmore & Shohl,Legal Services,New,,650288,New,CBD,30551450.0,4923858.0,0.161166098499417,36.5331251563644,32.6194613367055,,,,,,,,,661104.0,2018-Q1,Small,Legal_Services_Small
2018,Q1,2.0,San Francisco,One New Montgomery,San Francisco_Financial District South_San Francisco_One New Montgomery_625 Market St,625 Market St,West,San Francisco,CA,94105.0,Financial District South,O,2828.0,Ruben Law Firm,Legal Services,Renewal,,320643,Relet,CBD,29925387.0,3246879.0,0.108499148231567,64.5789197209575,67.0997658941117,,,,,,,,,748857.0,2018-Q1,Small,Legal_Services_Small
2018,Q1,2.0,South Florida,Pinnacle Corporate Park  Bldg 500,South Florida_Cypress Creek/Fort Lauderdale_Fort Lauderdale_Pinnacle Corporate Park  Bldg 500_500 W Cypress Creek Rd,500 W Cypress Creek Rd,South,Fort Lauderdale,FL,33309.0,Cypress Creek/Fort Lauderdale,A,2000.0,Johnson & Martin,Legal Services,Renewal,Broward County,379007,Relet,Suburban,51568556.0,8778332.0,0.17022644574341,37.4429386432953,32.8268385375392,,,,,,,,,610763.0,2018-Q1,Small,Legal_Services_Small
2018,Q1,2.0,Washington D.C.,,Washington D.C._Central Business District_Washington_NA_2020 K St NW,2020 K St NW,Northeast,Washington,DC,20006.0,Central Business District,A,9902.0,Porter Wright Morris & Arthur,Legal Services,New,,129096,Relet,CBD,,,,,,,,,,,,,,,2018-Q1,Small,Legal_Services_Small
2018,Q1,12.0,Dallas/Ft Worth,Two City Place,Dallas/Ft Worth_Fort Worth CBD_Fort Worth_Two City Place_100 Throckmorton St,100 Throckmorton St,South,Fort Worth,TX,76102.0,Fort Worth CBD,A,4441.0,Litchfield Cavo,Legal Services,New,,422489,Relet,CBD,,,,,,,,,,,,,,,2018-Q1,Small,Legal_Services_Small
2018,Q1,12.0,Houston,,Houston_West Loop/Galleria_Houston_NA_515 Post Oak Blvd,515 Post Oak Blvd,South,Houston,TX,77027.0,West Loop/Galleria,A,8055.0,Merlin Law Group,Legal Services,New,,236042,Relet,Suburban,113376552.0,32500251.0,0.286657606239428,32.105381160916,27.9231235500487,,,,,,,,,2103443.0,2018-Q1,Small,Legal_Services_Small
