year,quarter,monthsigned,market,building_name,building_id,address,region,city,state,zip,internal_submarket,internal_class,leasedSF,company_name,internal_industry,transaction_type,internal_market_cluster,costarID,space_type,CBD_suburban,RBA,available_space,availability_proportion,internal_class_rent,overall_rent,direct_available_space,direct_availability_proportion,direct_internal_class_rent,direct_overall_rent,sublet_available_space,sublet_availability_proportion,sublet_internal_class_rent,sublet_overall_rent,leasing,year-quarter,company_size,industry_size
2018,Q1,1.0,Atlanta,271 17th,Atlanta_Midtown_Atlanta_271 17th_271 17th St NW,271 17th St NW,South,Atlanta,GA,30363.0,Midtown,A,15795.0,Square,"Technology, Advertising, Media, and Information",New,,5993371,Relet,CBD,101140416.0,20239067.0,0.200108599513769,27.6558911686799,24.3456893335581,,,,,,,,,1205126.0,2018-Q1,Medium,Technology_Advertising_Media_and_Information_Medium
2018,Q1,1.0,Charlotte,The Hub at Waverly,Charlotte_East Charlotte_Charlotte_The Hub at Waverly_6210 Ardrey Kell Rd,6210 Ardrey Kell Rd,South,Charlotte,NC,28277.0,East Charlotte,A,12000.0,ESRI,"Technology, Advertising, Media, and Information",New,,9556029,New,Suburban,35441291.0,5603221.0,0.158098670841308,28.5893701247036,26.0377348755077,,,,,,,,,1130188.0,2018-Q1,Medium,Technology_Advertising_Media_and_Information_Medium
2018,Q1,1.0,Houston,The Post Oak Hotel at Uptown Houston,Houston_West Loop/Galleria_Houston_The Post Oak Hotel at Uptown Houston_1600 W Loop S,1600 W Loop S,South,Houston,TX,77027.0,West Loop/Galleria,A,12273.0,Dancie Perugini Ware Public Relations,"Technology, Advertising, Media, and Information",New,,9649426,New,Suburban,113376552.0,32500251.0,0.286657606239428,32.105381160916,27.9231235500487,,,,,,,,,2103443.0,2018-Q1,Medium,Technology_Advertising_Media_and_Information_Medium
2018,Q1,1.0,Los Angeles,Building 2,Los Angeles_Marina/Playa Vista_Playa Vista_Building 2_12105 W Bluff Creek Dr,12105 W Bluff Creek Dr,West,Playa Vista,CA,90094.0,Marina/Playa Vista,O,19140.0,72andsunny,"Technology, Advertising, Media, and Information",Renewal,Westside,8052706,Relet,Suburban,68338197.0,14154981.0,0.207131320716583,31.902391809038,36.9589964321819,,,,,,,,,834899.0,2018-Q1,Medium,Technology_Advertising_Media_and_Information_Medium
2018,Q1,1.0,Los Angeles,The Tower,Los Angeles_Burbank_Burbank_The Tower_3900 W Alameda Ave,3900 W Alameda Ave,West,Burbank,CA,91505.0,Burbank,A,19092.0,Stalwart Films,"Technology, Advertising, Media, and Information",New,Tri-Cities,248390,Relet,CBD,143744668.0,26495057.0,0.184320276839764,39.9017071694796,36.9589964321819,,,,,,,,,2480075.0,2018-Q1,Medium,Technology_Advertising_Media_and_Information_Medium
2018,Q1,1.0,Los Angeles,,Los Angeles_Beverly Hills_Beverly Hills_NA_407 N Maple Dr,407 N Maple Dr,West,Beverly Hills,CA,90210.0,Beverly Hills,A,20754.0,Mosaic Media Group,"Technology, Advertising, Media, and Information",New,Westside,617277,New,CBD,143744668.0,26495057.0,0.184320276839764,39.9017071694796,36.9589964321819,,,,,,,,,2480075.0,2018-Q1,Medium,Technology_Advertising_Media_and_Information_Medium
2018,Q1,1.0,Manhattan,119 W 40th St,Manhattan_Penn Plaza/Times Square South_New York_119 W 40th St_114 W 41st St,114 W 41st St,Northeast,New York,NY,10036.0,Penn Plaza/Times Square South,O,15931.0,Demandbase,"Technology, Advertising, Media, and Information",Relocation,Midtown,157417,Relet,CBD,199870492.0,20399536.0,0.102063770373868,61.391797776729,73.7398641513934,,,,,,,,,3789831.0,2018-Q1,Medium,Technology_Advertising_Media_and_Information_Medium
2018,Q1,1.0,Manhattan,171177 Varick St,Manhattan_Hudson Square_New York_171177 Varick St_175 Varick St,175 Varick St,Northeast,New York,NY,10014.0,Hudson Square,O,16910.0,ROKT,"Technology, Advertising, Media, and Information",Expansion,Midtown South,159981,Relet,CBD,199870492.0,20399536.0,0.102063770373868,61.391797776729,73.7398641513934,,,,,,,,,3789831.0,2018-Q1,Medium,Technology_Advertising_Media_and_Information_Medium
2018,Q1,1.0,Orange County,,Orange County_Central County_Anaheim_NA_888 Disneyland Dr,888 Disneyland Dr,West,Anaheim,CA,92802.0,Central County,O,20369.0,Walt Disney Resort,"Technology, Advertising, Media, and Information",Renewal,,607811,Relet,Suburban,,,,,,,,,,,,,,,2018-Q1,Medium,Technology_Advertising_Media_and_Information_Medium
2018,Q1,1.0,Philadelphia,,Philadelphia_Ft. Washington/Spring House_Fort Washington_NA_475 Virginia Dr,475 Virginia Dr,Northeast,Fort Washington,PA,19034.0,Ft. Washington/Spring House,O,24112.0,T-Mobile,"Technology, Advertising, Media, and Information",New,,297577,Relet,Suburban,45525612.0,8339192.0,0.183175835176032,22.9651678923282,25.8579951214435,,,,,,,,,516131.0,2018-Q1,Medium,Technology_Advertising_Media_and_Information_Medium
